id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
2AY1UAimvTqjJC8vDJsOyy,Mayores,MALA SANTA,13MHW8hoLFjX7SaVEVmj3X,"['Becky G', 'Bad Bunny']","['4obzFoKoKRHIphyHzJ35G3', '4q3ewBCX7sLwd24euuV69X']",16,1,False,0.745,0.836,5,-4.336,0,0.0444,0.145,0.00314,0.1159999999999999,0.8740000000000001,96.993,203187,4.0,2019,2019-10-18
4MtnnyXkgtagfUcUT663QT,Mayores - Urban Tropical,Mayores (Urban Tropical),6SewmHstYQsZ3LOknitRHG,"['Becky G', 'Bad Bunny', 'Ear Candy']","['4obzFoKoKRHIphyHzJ35G3', '4q3ewBCX7sLwd24euuV69X', '1yeRzIylR1uGMCvfAPcYPt']",1,1,False,0.716,0.853,10,-3.809,1,0.0487,0.0398,0.115,0.353,0.8590000000000001,97.008,210840,4.0,2017,2017-09-22
47EiUVwUp4C9fGccaPuUCS,Dakiti,Dakiti,43dl8hP5uNN9s6YeeJA5fv,"['Bad Bunny', 'Jhay Cortez']","['4q3ewBCX7sLwd24euuV69X', '0EFisYRi20PTADoJrifHrz']",1,1,True,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,205090,4.0,2020,2020-10-30
6ipDE6Y0xrjEeaBTuPfW1K,Tu No Metes Cabra - Remix,Tu No Metes Cabra Remix,1iBPzt9tw4KVZ8yVSe4FfD,"['Bad Bunny', 'Daddy Yankee', 'Anuel AA', 'Cosculluela']","['4q3ewBCX7sLwd24euuV69X', '4VMYDCV2IEDYJArk749S6m', '2R21vXR83lH98kGeO99Y66', '00me4Ke1LsvMxt5kydlMyU']",1,1,True,0.848,0.574,7,-3.195,1,0.271,0.449,0.0,0.073,0.493,91.964,331440,4.0,2017,2017-10-25
36DHxTW2xdr9GG15T9oK9L,EL MUNDO ES MÍO,EL ÚLTIMO TOUR DEL MUNDO,2d9BCZeAAhiZWPpbX9aPCW,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],1,1,False,0.716,0.522,5,-6.834,1,0.0582,0.166,6.500000000000001e-05,0.113,0.2239999999999999,76.993,165199,4.0,2020,2020-11-27
5RubKOuDoPn5Kj5TLVxSxY,TE MUDASTE,EL ÚLTIMO TOUR DEL MUNDO,2d9BCZeAAhiZWPpbX9aPCW,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],2,1,True,0.8109999999999999,0.637,10,-4.835,0,0.0591,0.2339999999999999,0.000572,0.118,0.471,92.025,130014,4.0,2020,2020-11-27
0tjZv2hChdHZCW1zFXpy1J,HOY COBRÉ,EL ÚLTIMO TOUR DEL MUNDO,2d9BCZeAAhiZWPpbX9aPCW,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],3,1,True,0.86,0.725,11,-6.7,1,0.249,0.0464,9.1e-05,0.0994,0.375,145.001,162151,4.0,2020,2020-11-27
0Lsis3LB0XAK6XlTHXaJk2,MALDITA POBREZA,EL ÚLTIMO TOUR DEL MUNDO,2d9BCZeAAhiZWPpbX9aPCW,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],4,1,True,0.762,0.861,4,-4.075,0,0.0652,0.139,1.08e-06,0.0956,0.588,133.037,213609,4.0,2020,2020-11-27
2XIc1pqjXV3Cr2BQUGNBck,LA NOCHE DE ANOCHE,EL ÚLTIMO TOUR DEL MUNDO,2d9BCZeAAhiZWPpbX9aPCW,"['Bad Bunny', 'ROSALÍA']","['4q3ewBCX7sLwd24euuV69X', '7ltDVBr6mKbRvohxheJ9h1']",5,1,False,0.856,0.618,7,-4.892,1,0.286,0.0303,0.0,0.0866,0.391,81.993,203201,4.0,2020,2020-11-27
23XjN1s3DZC8Q9ZwuorYY4,TE DESEO LO MEJOR,EL ÚLTIMO TOUR DEL MUNDO,2d9BCZeAAhiZWPpbX9aPCW,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],6,1,True,0.763,0.597,1,-5.053999999999999,1,0.0416,0.158,1.83e-05,0.111,0.1939999999999999,126.054,139576,4.0,2020,2020-11-27
5fROvzNghPid8mbKNDYvpJ,YO VISTO ASÍ,EL ÚLTIMO TOUR DEL MUNDO,2d9BCZeAAhiZWPpbX9aPCW,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],7,1,False,0.688,0.8809999999999999,7,-4.888999999999999,0,0.0474,0.0947,0.0,0.0804,0.677,123.013,191526,4.0,2020,2020-11-27
26QApq0cuO9brJigr0C0W4,HACIENDO QUE ME AMAS,EL ÚLTIMO TOUR DEL MUNDO,2d9BCZeAAhiZWPpbX9aPCW,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],8,1,True,0.584,0.411,10,-7.147,0,0.0838,0.8690000000000001,4.47e-05,0.0955,0.412,169.93400000000003,217769,4.0,2020,2020-11-27
26w9NTiE9NGjW1ZvIOd1So,BOOKER T,EL ÚLTIMO TOUR DEL MUNDO,2d9BCZeAAhiZWPpbX9aPCW,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],9,1,True,0.883,0.6,7,-7.188,1,0.37,0.114,7.94e-06,0.0931,0.691,113.903,156430,4.0,2020,2020-11-27
67ACYA3UI6QMNtHX6b34wX,LA DROGA,EL ÚLTIMO TOUR DEL MUNDO,2d9BCZeAAhiZWPpbX9aPCW,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],10,1,True,0.643,0.727,1,-5.506,1,0.0389,0.0439,0.0,0.123,0.295,90.01899999999998,162299,4.0,2020,2020-11-27
4MzXwWMhyBbmu6hOcLVD49,DÁKITI,EL ÚLTIMO TOUR DEL MUNDO,2d9BCZeAAhiZWPpbX9aPCW,"['Bad Bunny', 'Jhay Cortez']","['4q3ewBCX7sLwd24euuV69X', '0EFisYRi20PTADoJrifHrz']",11,1,True,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,205090,4.0,2020,2020-11-27
09WAnxdBuebQopKhJT3oZS,TRELLAS,EL ÚLTIMO TOUR DEL MUNDO,2d9BCZeAAhiZWPpbX9aPCW,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],12,1,False,0.43,0.412,2,-5.372000000000001,1,0.0281,0.2,0.0,0.324,0.0508,90.872,157673,4.0,2020,2020-11-27
5jZ32WOU7sqzDYbzINwMUk,SORRY PAPI,EL ÚLTIMO TOUR DEL MUNDO,2d9BCZeAAhiZWPpbX9aPCW,"['Bad Bunny', 'ABRA']","['4q3ewBCX7sLwd24euuV69X', '3ZJxEmjYZd5VOqZ8o3aXiL']",13,1,True,0.612,0.561,1,-6.053999999999999,1,0.0851,0.0601,0.0,0.145,0.3929999999999999,191.911,163053,4.0,2020,2020-11-27
3KJ3opyV29269SXkPrc19l,120,EL ÚLTIMO TOUR DEL MUNDO,2d9BCZeAAhiZWPpbX9aPCW,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],14,1,True,0.636,0.6559999999999999,2,-5.5420000000000025,0,0.0676,0.451,7.97e-06,0.287,0.439,171.918,151506,4.0,2020,2020-11-27
7kjEqI6eZ7YlFrGhxixnlN,ANTES QUE SE ACABE,EL ÚLTIMO TOUR DEL MUNDO,2d9BCZeAAhiZWPpbX9aPCW,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],15,1,False,0.693,0.5489999999999999,2,-6.098,1,0.0577,0.505,4.73e-05,0.324,0.473,139.988,221187,4.0,2020,2020-11-27
